Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	20219400.0	pass	fail	fail	50.0	15.8354333261	20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001.fastq.gz	fail	pass
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	20219400.0	pass	fail	fail	51.0	14.2730142102	20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001.fastq.gz	pass	pass
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	21234930.0	pass	fail	fail	51.0	14.1288301116	20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001.fastq.gz	fail	pass
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	21234930.0	pass	fail	fail	52.0	12.5089571857	20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001.fastq.gz	warn	pass
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	22966243.0	pass	warn	fail	53.0	9.49325142928	20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001.fastq.gz	fail	pass
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	22966243.0	pass	fail	fail	54.0	8.67002680315	20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001.fastq.gz	warn	pass
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	26830163.0	pass	fail	fail	51.0	12.9055459218	20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001.fastq.gz	fail	pass
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	26830163.0	pass	fail	fail	51.0	14.7968917258	20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R2_001.fastq.gz	pass	pass
20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	53975062.0	pass	warn	warn	52.0	8.82338329087	20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R1_001.fastq.gz	fail	pass
20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	53975062.0	pass	fail	fail	52.0	8.16456846254	20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R2_001.fastq.gz	warn	pass
20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	33070737.0	pass	warn	fail	50.0	14.7808311836	20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R1_001.fastq.gz	fail	pass
20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	33070737.0	pass	fail	fail	50.0	13.2436524103	20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R2_001.fastq.gz	pass	pass
20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	25300127.0	pass	fail	warn	50.0	15.2295509751	20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R1_001.fastq.gz	fail	pass
20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	25300127.0	pass	fail	fail	51.0	14.1416737193	20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R2_001.fastq.gz	warn	pass
20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	28431145.0	pass	warn	warn	53.0	10.0636722501	20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R1_001.fastq.gz	fail	pass
20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	28431145.0	pass	fail	fail	53.0	9.42208107026	20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R2_001.fastq.gz	warn	pass
20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	30897560.0	pass	fail	warn	52.0	10.1351248781	20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R1_001.fastq.gz	fail	pass
20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	30897560.0	pass	fail	fail	52.0	9.4905730889	20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R2_001.fastq.gz	warn	pass
20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	26449375.0	pass	fail	warn	52.0	9.63621115417	20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R1_001.fastq.gz	fail	pass
20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	26449375.0	pass	fail	fail	53.0	8.72877329109	20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R2_001.fastq.gz	warn	pass
20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	25756735.0	pass	warn	warn	52.0	10.7396256906	20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R1_001.fastq.gz	fail	pass
20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	25756735.0	pass	fail	fail	53.0	9.75879236063	20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R2_001.fastq.gz	warn	pass
20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	28180353.0	pass	warn	warn	50.0	14.3840096396	20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R1_001.fastq.gz	fail	pass
20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	28180353.0	pass	fail	fail	50.0	13.472407845	20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R2_001.fastq.gz	warn	pass
20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	34510231.0	pass	fail	warn	51.0	10.6397325062	20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R1_001.fastq.gz	fail	pass
20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	34510231.0	pass	fail	fail	52.0	9.51873709457	20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R2_001.fastq.gz	warn	pass
20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	23863658.0	pass	fail	warn	51.0	12.7874544244	20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R1_001.fastq.gz	fail	pass
20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	23863658.0	pass	fail	fail	51.0	11.2799790754	20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R2_001.fastq.gz	warn	pass
20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	27807717.0	pass	fail	warn	50.0	13.0200575654	20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R1_001.fastq.gz	fail	pass
20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	27807717.0	pass	fail	fail	50.0	10.432078721	20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R2_001.fastq.gz	pass	pass
